value
'bundesanstalt für post und telekommunikation deutsche bundespost '
'dachdeckerhandwerk '
'heizungs-, klima-, sanitärtechnik sowie rohrleitungsbau '
'deutsche telekom service gmbh '
'hamburger hafen, sonderbestimmungen '
'stückgut-kaibetriebe, technische angestellte '
'lasch- und stauereiunternehmen im hamburger hafen '
'deutsche post e-post solutions gmbh '
'kita service gmbh '
'db systel gmbh '
'db konzern '
'db regio ag: regionalbahn, regionetz verkehrs gmbh, s-bahn '
'db bahnbau gruppe gmbh bbg ehemals db bahnbau gmbh '
'werkhof projekt ggmbh '
'schrott-recycling-wirtschaft, schrott- und industrieabbruchgewerbe '
'barmer gek '
'brot- und backwarenindustrie, großbäckereien '
'techniker krankenkasse '
'fröbel e.v. '
'coca-cola erfrischungsgetränke ag, später coca-cola european partners deutschland gmbh '
'iss energy services gmbh '
'bäckerhandwerk schleswig-holstein und hamburg '
'müllverwertung rugenberger damm + borsigstraße '
'bundesagentur für arbeit '
'bohlen & doyen service und anlagentechnik gmbh '
'malta air ltd '
'elektrohandwerk '
'bohlen & doyen bauunternehmung gmbh, ab 1.4.18: bodo shared services gmbh scheinbar wieder alter name bohlen & doyen gmbh 2018 '
'schornsteinfegerhandwerk '
'städtische gebäudereinigung gmbh sgg '
'airbus operations gmbh, vormals airbus deutschland gmbh '
'verkehrsbetriebe hamburg-holstein ag '
'deutsche post ag '
'textilindustrie hamburg und schleswig-holstein '
'db sicherheit gmbh '
'klinikum eilbek '
'bilfinger shared services gmbh '
'miederindustrie '
'asklepios facility services hamburg gmbh '
'hamburger hochbahn ag '
'medizinische fachangestellte, arzthelferinnen '
'gbi großhamburger bestattungsinstitut '
'altonaer kinderkrankenhaus ggmbh '
'logistik-unternehmen des hamburger hafens, ehem.distributionsläger+cont. '
'erdöl- und erdgasgewinnungsindustrie, e & p-gesellschaften '
'verband kirchlicher u. diakon. anstellungsträger nordelbien bzw. in norddeutschland '
'deutsche rentenversicherung bund '
